day,daily_usdc_volume,daily_usdc_tx_count
2024-09-03 0:00,11172296392,102095
2024-09-04 0:00,12537824285,106092
2024-09-05 0:00,8404577408,88286
2024-09-06 0:00,10247042641,112231
2024-09-07 0:00,3695896203,100190
2024-09-08 0:00,2559133339,102801
2024-09-09 0:00,9226381020,102001
2024-09-10 0:00,18893150945,92070
2024-09-11 0:00,15634903634,101546
2024-09-12 0:00,7211490361,99287
2024-09-13 0:00,10495914256,112724
2024-09-14 0:00,2762143515,98996
2024-09-15 0:00,3132559585,118797
2024-09-16 0:00,9288076362,94855
2024-09-17 0:00,8553731465,87122
2024-09-18 0:00,7990909692,80719
2024-09-19 0:00,10903709420,80704
2024-09-20 0:00,9583626968,75710
2024-09-21 0:00,2324602082,58550
2024-09-22 0:00,2207168185,58780
2024-09-23 0:00,7761379852,74355
2024-09-24 0:00,7342326956,69985
2024-09-25 0:00,7980249976,70249
2024-09-26 0:00,8657683651,76541
2024-09-27 0:00,500085738043524,85937
2024-09-28 0:00,2031127703,78564
2024-09-29 0:00,2027828152,70522
2024-09-30 0:00,11999750061,94462
2024-10-01 0:00,14463974899,105750
2024-10-02 0:00,9492603841,94426
2024-10-03 0:00,7980334926,99138
2024-10-04 0:00,9184363124,100235
2024-10-05 0:00,2180585140,75453
2024-10-06 0:00,2264395355,66388
2024-10-07 0:00,9851705258,86842
2024-10-08 0:00,165617210311,77835
2024-10-09 0:00,32592419502,78394
2024-10-10 0:00,1.00001E+15,89547
2024-10-11 0:00,17968716109,79281
2024-10-12 0:00,2641422694,80651
2024-10-13 0:00,104969187719,76597
2024-10-14 0:00,9569623767,87199
2024-10-15 0:00,11145065559,92282
2024-10-16 0:00,11794104378,85462
2024-10-17 0:00,1.16E+71,75244
2024-10-18 0:00,8627276318,68932
2024-10-19 0:00,2160146433,63254
2024-10-20 0:00,2152014012,67611
2024-10-21 0:00,10296324213,86558
2024-10-22 0:00,1009637974077,84145
2024-10-23 0:00,12936492390,87971
2024-10-24 0:00,8989276447,87755
2024-10-25 0:00,13423021926,105179
2024-10-26 0:00,3669482260,79544
2024-10-27 0:00,2520088299,65962
2024-10-28 0:00,43878123643,87637
2024-10-29 0:00,12827858365,100984
2024-10-30 0:00,9668216796,87942
2024-10-31 0:00,11444127764,97521
2024-11-01 0:00,37651305277,103460
2024-11-02 0:00,3306056866,76985
2024-11-03 0:00,3418390821,100859
2024-11-04 0:00,44392008750,104528
2024-11-05 0:00,10966580634,117258
2024-11-06 0:00,22271398742,130251
2024-11-07 0:00,17632589423,108666
2024-11-08 0:00,14847299472,101505
2024-11-09 0:00,7390815407,89420
2024-11-10 0:00,7693076864,100715
2024-11-11 0:00,15688953988,111150
2024-11-12 0:00,120587171608,114315
2024-11-13 0:00,25459886404,103838
2024-11-14 0:00,14808063804,106920
2024-11-15 0:00,10022990753872,107124
2024-11-16 0:00,6152375288,94966
2024-11-17 0:00,4620486777,93096
2024-11-18 0:00,13756979087,105260
2024-11-19 0:00,14294503526,101665
2024-11-20 0:00,13668315130988,113803
2024-11-21 0:00,17613980590,119838
2024-11-22 0:00,17880593185,115273
2024-11-23 0:00,7405632707,100326
2024-11-24 0:00,5172824411,99183
2024-11-25 0:00,54406176045,113057
2024-11-26 0:00,15779519100,117421
2024-11-27 0:00,19404577821,115153
2024-11-28 0:00,9635763217,108648
2024-11-29 0:00,16665538811,122136
2024-11-30 0:00,6192752068,109863
2024-12-01 0:00,4689085425,103765
2024-12-02 0:00,16144407885,122842
2024-12-03 0:00,18303982000,121182
2024-12-04 0:00,17903576741,123141
2024-12-05 0:00,23627889732,134480
2024-12-06 0:00,18431374398,118743
2024-12-07 0:00,6164122969,98332
2024-12-08 0:00,5869021251,98902
2024-12-09 0:00,16787675483,116395
2024-12-10 0:00,14880026934,114989
2024-12-11 0:00,16200850521,105440
2024-12-12 0:00,14505032686,106981
2024-12-13 0:00,14133226303,104410
2024-12-14 0:00,5203245993,101547
2024-12-15 0:00,6040807024,98599
2024-12-16 0:00,16302463875,117814
2024-12-17 0:00,13311076670,117164
2024-12-18 0:00,13374517770,131149
2024-12-19 0:00,19435342413,144095
2024-12-20 0:00,24869943175,148412
2024-12-21 0:00,7623890940,118159
2024-12-22 0:00,5781674099,106298
2024-12-23 0:00,116650462737,125195
2024-12-24 0:00,13265512578,111227
2024-12-25 0:00,6379413100,94825
2024-12-26 0:00,11004099432,105590
2024-12-27 0:00,12443157326,119094
2024-12-28 0:00,4072033283,106793
2024-12-29 0:00,5497646253,114355
2024-12-30 0:00,600000018958023800,138902
2024-12-31 0:00,14084238918,130303
2025-01-01 0:00,9889596063,91473
2025-01-02 0:00,12666798709,108394
2025-01-03 0:00,16050022900,121882
2025-01-04 0:00,6612159691,105104
2025-01-05 0:00,4902687713,101887
2025-01-06 0:00,15837616552,115098
2025-01-07 0:00,17488926744,130876
2025-01-08 0:00,16981516842,141968
